prompt_id,rank,reward
cta_qa_0000,0,-10.742553
cta_qa_0000,1,-14.954355
cta_qa_0000,2,-8.351315
cta_qa_0000,3,-12.405428
cta_qa_0000,4,-14.824676
cta_qa_0000,5,-16.251598
cta_qa_0000,6,-13.068288
cta_qa_0000,7,-10.746668
cta_qa_0000,8,-28.874998
cta_qa_0000,9,-15.544820
cta_qa_0000,10,-15.986712
cta_qa_0000,11,-10.164728
cta_qa_0000,12,-27.874998
cta_qa_0000,13,-12.087350
cta_qa_0000,14,-15.841934
cta_qa_0000,15,-16.685293
cta_qa_0000,16,-11.472618
cta_qa_0000,17,-14.540456
cta_qa_0000,18,-14.164136
cta_qa_0000,19,-9.335174
cta_qa_0000,20,-15.063782
cta_qa_0000,21,-29.624998
cta_qa_0000,22,-9.250441
cta_qa_0000,23,-13.373454
cta_qa_0000,24,-16.371649
cta_qa_0000,25,-14.150029
cta_qa_0000,26,-13.181149
cta_qa_0000,27,-14.226510
cta_qa_0000,28,-15.970626
cta_qa_0000,29,-18.236839
cta_qa_0000,30,-15.497628
cta_qa_0000,31,-17.503181
cta_qa_0000,32,-14.145497
cta_qa_0000,33,-14.186685
cta_qa_0000,34,-28.249998
cta_qa_0000,35,-14.124686
cta_qa_0000,36,-28.249998
cta_qa_0000,37,-28.124998
cta_qa_0000,38,-17.923876
cta_qa_0000,39,-16.528551
cta_qa_0000,40,-28.874998
cta_qa_0000,41,-17.545918
cta_qa_0000,42,-12.318571
cta_qa_0000,43,-13.620674
cta_qa_0000,44,-27.937498
cta_qa_0000,45,-18.462860
cta_qa_0000,46,-28.874998
cta_qa_0000,47,-28.749998
cta_qa_0000,48,-27.499998
cta_qa_0000,49,-13.541432
cta_qa_0000,50,-10.557223
cta_qa_0000,51,-12.661245
cta_qa_0000,52,-18.004030
cta_qa_0000,53,-14.362213
cta_qa_0000,54,-11.953218
cta_qa_0000,55,-28.249998
cta_qa_0000,56,-18.623381
cta_qa_0000,57,-13.314886
cta_qa_0000,58,-28.937498
cta_qa_0000,59,-26.125000
cta_qa_0000,60,-14.870986
cta_qa_0000,61,-10.561791
cta_qa_0000,62,-28.249998
cta_qa_0000,63,-20.730593
cta_qa_0001,0,-5.784567
cta_qa_0001,1,-0.925935
cta_qa_0001,2,-25.187498
cta_qa_0001,3,-12.999188
cta_qa_0001,4,-4.050955
cta_qa_0001,5,-1.744712
cta_qa_0001,6,-2.806634
cta_qa_0001,7,-4.406398
cta_qa_0001,8,-2.626286
cta_qa_0001,9,-6.534060
cta_qa_0001,10,-7.295288
cta_qa_0001,11,-4.305550
cta_qa_0001,12,-8.437363
cta_qa_0001,13,-11.597509
cta_qa_0001,14,-3.246484
cta_qa_0001,15,-10.566936
cta_qa_0001,16,-4.254341
cta_qa_0001,17,1.697474
cta_qa_0001,18,-0.601846
cta_qa_0001,19,-2.060634
cta_qa_0001,20,-2.837859
cta_qa_0001,21,-0.304293
cta_qa_0001,22,-1.554877
cta_qa_0001,23,-0.775453
cta_qa_0001,24,-1.083019
cta_qa_0001,25,-1.717643
cta_qa_0001,26,-2.686579
cta_qa_0001,27,1.248897
cta_qa_0001,28,-28.812498
cta_qa_0001,29,-1.078506
cta_qa_0001,30,-1.731425
cta_qa_0001,31,-2.031751
cta_qa_0001,32,-22.703693
cta_qa_0001,33,3.239816
cta_qa_0001,34,-27.499998
cta_qa_0001,35,-27.562498
cta_qa_0001,36,-16.190897
cta_qa_0001,37,-27.624998
cta_qa_0001,38,-21.053915
cta_qa_0001,39,-27.812498
cta_qa_0001,40,-18.803968
