prompt_id,rank,reward
cta_qa_0000,0,-36.750000
cta_qa_0000,1,-36.750000
cta_qa_0000,2,-0.381592
cta_qa_0000,3,-36.750000
cta_qa_0000,4,-0.381592
cta_qa_0000,5,-36.750000
cta_qa_0000,6,-36.750000
cta_qa_0000,7,-36.750000
cta_qa_0000,8,-36.875000
cta_qa_0000,9,-36.750000
cta_qa_0000,10,-0.381592
cta_qa_0000,11,-36.750000
cta_qa_0000,12,-0.381592
cta_qa_0000,13,-0.381592
cta_qa_0000,14,-36.750000
cta_qa_0000,15,-36.750000
cta_qa_0000,16,-36.875000
cta_qa_0000,17,-36.875000
cta_qa_0000,18,-36.875000
cta_qa_0000,19,-36.875000
cta_qa_0000,20,-36.875000
cta_qa_0000,21,-36.875000
cta_qa_0000,22,-36.875000
cta_qa_0000,23,-36.875000
cta_qa_0000,24,-36.875000
cta_qa_0000,25,-36.875000
cta_qa_0000,26,-36.875000
cta_qa_0000,27,-36.875000
cta_qa_0000,28,-36.875000
cta_qa_0000,29,-36.875000
cta_qa_0000,30,-36.875000
cta_qa_0000,31,-36.875000
cta_qa_0000,32,-36.750000
cta_qa_0000,33,-36.750000
cta_qa_0000,34,-0.381592
cta_qa_0000,35,-36.750000
cta_qa_0000,36,-36.750000
cta_qa_0000,37,-0.205184
cta_qa_0000,38,-0.160343
cta_qa_0000,39,-36.750000
cta_qa_0000,40,-36.750000
cta_qa_0000,41,-37.250000
cta_qa_0000,42,-36.750000
cta_qa_0000,43,-0.381592
cta_qa_0000,44,-36.750000
cta_qa_0000,45,-36.750000
cta_qa_0000,46,-0.381592
cta_qa_0000,47,-36.750000
cta_qa_0000,48,-36.750000
cta_qa_0000,49,-36.750000
cta_qa_0000,50,-0.348862
cta_qa_0000,51,-0.348862
cta_qa_0000,52,-36.750000
cta_qa_0000,53,-0.381592
cta_qa_0000,54,-36.750000
cta_qa_0000,55,-36.750000
cta_qa_0000,56,-36.875000
cta_qa_0000,57,-36.875000
cta_qa_0000,58,-36.875000
cta_qa_0000,59,-36.875000
cta_qa_0000,60,-36.750000
cta_qa_0000,61,-0.205184
cta_qa_0000,62,-37.250000
cta_qa_0000,63,-36.750000
cta_qa_0001,0,-0.324033
cta_qa_0001,1,-37.500000
cta_qa_0001,2,-37.500000
cta_qa_0001,3,-0.407523
cta_qa_0001,4,-37.500000
cta_qa_0001,5,-37.500000
cta_qa_0001,6,-0.324033
cta_qa_0001,7,-0.407523
cta_qa_0001,8,-0.407523
cta_qa_0001,9,-37.500000
cta_qa_0001,10,-0.407523
cta_qa_0001,11,-37.500000
cta_qa_0001,12,-0.407523
cta_qa_0001,13,-37.500000
cta_qa_0001,14,-37.500000
cta_qa_0001,15,-0.407523
cta_qa_0001,16,-37.875000
cta_qa_0001,17,-37.875000
cta_qa_0001,18,-37.875000
cta_qa_0001,19,-37.875000
cta_qa_0001,20,-0.228713
cta_qa_0001,21,-37.500000
cta_qa_0001,22,-0.407523
cta_qa_0001,23,-0.407523
cta_qa_0001,24,-37.875000
cta_qa_0001,25,-37.875000
cta_qa_0001,26,-37.875000
cta_qa_0001,27,-37.875000
cta_qa_0001,28,-37.500000
cta_qa_0001,29,-37.500000
cta_qa_0001,30,-0.228713
cta_qa_0001,31,-37.500000
cta_qa_0001,32,-37.500000
cta_qa_0001,33,-37.500000
cta_qa_0001,34,-0.291257
cta_qa_0001,35,-0.407523
cta_qa_0001,36,-37.500000
cta_qa_0001,37,-37.500000
cta_qa_0001,38,-37.500000
cta_qa_0001,39,-0.228713
cta_qa_0001,40,-0.321129
cta_qa_0001,41,-0.407523
cta_qa_0001,42,-37.500000
cta_qa_0001,43,-37.500000
cta_qa_0001,44,-37.500000
cta_qa_0001,45,-37.500000
cta_qa_0001,46,-0.228713
cta_qa_0001,47,-0.228713
cta_qa_0001,48,-0.228713
cta_qa_0001,49,-0.228713
cta_qa_0001,50,-37.500000
cta_qa_0001,51,-0.407523
cta_qa_0001,52,-37.500000
cta_qa_0001,53,-37.500000
cta_qa_0001,54,-0.228713
cta_qa_0001,55,-37.500000
cta_qa_0001,56,-37.500000
cta_qa_0001,57,-37.500000
cta_qa_0001,58,-0.228713
cta_qa_0001,59,-0.261864
cta_qa_0001,60,-37.500000
cta_qa_0001,61,-0.228713
cta_qa_0001,62,-0.407523
cta_qa_0001,63,-37.500000
cta_qa_0002,0,-0.348578
cta_qa_0002,1,-0.378523
cta_qa_0002,2,-0.288703
cta_qa_0002,3,-36.625000
cta_qa_0002,4,-36.625000
cta_qa_0002,5,-0.378523
cta_qa_0002,6,-0.288703
cta_qa_0002,7,-0.288703
cta_qa_0002,8,-36.625000
cta_qa_0002,9,-0.378523
cta_qa_0002,10,-37.000000
cta_qa_0002,11,-36.625000
cta_qa_0002,12,-0.407454
cta_qa_0002,13,-0.288703
cta_qa_0002,14,-36.625000
cta_qa_0002,15,-36.625000
cta_qa_0002,16,-36.625000
cta_qa_0002,17,-0.288703
cta_qa_0002,18,-37.000000
cta_qa_0002,19,-0.288703
cta_qa_0002,20,-0.378523
cta_qa_0002,21,-0.288703
cta_qa_0002,22,-0.288703
cta_qa_0002,23,-36.625000
cta_qa_0002,24,-0.288703
cta_qa_0002,25,-0.288703
cta_qa_0002,26,-36.625000
cta_qa_0002,27,-37.000000
cta_qa_0002,28,-37.437500
cta_qa_0002,29,-37.437500
cta_qa_0002,30,-37.437500
cta_qa_0002,31,-37.437500
cta_qa_0002,32,-37.437500
cta_qa_0002,33,-37.437500
cta_qa_0002,34,-37.437500
cta_qa_0002,35,-37.437500
cta_qa_0002,36,-36.625000
cta_qa_0002,37,-0.288703
cta_qa_0002,38,-0.288703
cta_qa_0002,39,-0.378523
cta_qa_0002,40,-37.437500
cta_qa_0002,41,-37.437500
cta_qa_0002,42,-37.437500
cta_qa_0002,43,-37.437500
cta_qa_0002,44,-0.288703
